iter	Passed	Remaining
421	2298	3147
422	2303	3142
423	2309	3137
424	2314	3131
425	2319	3125
426	2325	3121
427	2330	3114
428	2335	3109
429	2343	3105
430	2349	3101
431	2355	3096
432	2360	3090
433	2365	3084
434	2370	3079
435	2376	3073
436	2380	3067
437	2386	3061
438	2391	3055
439	2396	3049
440	2401	3043
441	2407	3038
442	2411	3032
443	2417	3026
444	2422	3021
445	2427	3015
446	2432	3009
447	2438	3004
448	2443	2997
449	2448	2992
450	2454	2987
451	2459	2981
452	2463	2975
453	2469	2970
454	2474	2964
455	2479	2958
456	2486	2954
457	2492	2949
458	2496	2942
459	2502	2938
460	2507	2932
461	2512	2926
462	2518	2921
463	2523	2915
464	2528	2909
465	2534	2904
466	2539	2898
467	2544	2892
468	2549	2887
469	2554	2881
470	2559	2875
471	2565	2869
472	2570	2864
473	2575	2857
474	2580	2852
475	2585	2846
476	2590	2840
477	2595	2834
478	2600	2829
479	2605	2822
480	2610	2816
481	2616	2811
482	2621	2805
483	2626	2799
484	2632	2794
485	2636	2788
486	2641	2782
487	2648	2778
488	2652	2772
489	2657	2766
490	2663	2761
491	2668	2755
492	2673	2749
493	2679	2744
494	2683	2738
495	2688	2732
496	2694	2727
497	2699	2721
498	2705	2716
499	2710	2710
500	2716	2706
501	2721	2700
502	2727	2695
503	2732	2689
504	2737	2683
505	2743	2678
506	2749	2673
507	2754	2667
508	2760	2662
509	2765	2656
510	2770	2650
511	2775	2645
512	2780	2639
513	2785	2633
514	2791	2629
515	2796	2623
516	2801	2617
517	2807	2612
518	2811	2606
519	2816	2600
520	2822	2595
521	2827	2589
522	2832	2583
523	2837	2577
524	2842	2572
525	2847	2566
526	2853	2561
527	2860	2556
528	2865	2550
529	2870	2545
530	2875	2539
531	2880	2534
532	2885	2528
533	2891	2523
534	2896	2517
535	2901	2511
536	2907	2506
537	2913	2501
538	2918	2496
539	2920	2488
540	2925	2482
541	2930	2476
542	2936	2471
543	2941	2465
544	2946	2459
545	2952	2454
546	2956	2448
547	2961	2443
548	2967	2437
549	2972	2432
550	2977	2426
551	2983	2421
552	2988	2415
553	2994	2410
554	3000	2405
555	3005	2399
556	3010	2393
557	3015	2388
558	3020	2382
559	3025	2376
560	3030	2371
561	3035	2366
562	3040	2360
563	3046	2354
564	3051	2349
565	3056	2343
566	3061	2337
567	3066	2332
568	3071	2326
569	3076	2320
570	3082	2315
571	3087	2310
572	3092	2304
573	3097	2299
574	3102	2293
575	3107	2287
576	3113	2282
577	3118	2276
578	3123	2271
579	3129	2266
580	3134	2260
581	3139	2254
582	3145	2249
583	3150	2244
584	3155	2238
585	3161	2233
586	3166	2227
587	3171	2222
588	3177	2217
589	3182	2211
