iter	RMSE
0	0.1440370706
1	0.1433063007
2	0.1427212956
3	0.1422530297
4	0.1416436092
5	0.1410590375
6	0.1404349732
7	0.1395570819
8	0.1389755749
9	0.1384986412
10	0.1379330769
11	0.1373919175
12	0.136695333
13	0.1363856984
14	0.1358216339
15	0.1354416807
16	0.1349093939
17	0.1341958457
18	0.1339793171
19	0.1332054814
20	0.1328177936
21	0.1321781734
22	0.1314881748
23	0.1308892396
24	0.1302492738
25	0.1298022671
26	0.1291860625
27	0.1286139793
28	0.1282828118
29	0.1280802675
30	0.1277020065
31	0.1272875885
32	0.1269074008
33	0.1264573364
34	0.1259311373
35	0.1253476253
36	0.1249754204
37	0.1245524448
38	0.1240074852
39	0.123540574
40	0.1230739502
41	0.1227397544
42	0.1223375792
43	0.1220483632
44	0.1216223624
45	0.121286505
46	0.1209199724
47	0.120713785
48	0.1204682609
49	0.1201561833
50	0.1196995903
51	0.1193120375
52	0.1189201562
53	0.1185733861
54	0.1182174762
55	0.1179606753
56	0.117813342
57	0.1174859899
58	0.117128752
59	0.1167305438
60	0.1162889059
61	0.1160148104
62	0.1157958751
63	0.1155048792
64	0.1150512636
65	0.1146633362
66	0.1143069543
67	0.1141013848
68	0.1137137882
69	0.1133910556
70	0.1130923438
71	0.1128229309
72	0.1125312237
73	0.1123079701
74	0.1122303247
75	0.1121159435
76	0.1117075646
77	0.1115364884
78	0.1113275994
79	0.1109700022
80	0.1107339008
81	0.1103992821
82	0.1102541127
83	0.1099810989
84	0.1097970884
85	0.1095594102
86	0.1090798172
87	0.1089387848
88	0.1088261679
89	0.1085511177
90	0.1083103895
91	0.1080211304
92	0.1076764684
93	0.107547973
94	0.1073341692
95	0.1071290182
96	0.1069333484
97	0.1066892548
98	0.1064079251
99	0.1062764698
100	0.1059127742
101	0.105637565
102	0.1053920185
103	0.1051611398
104	0.104943419
105	0.1045560038
106	0.1044191586
107	0.104159922
108	0.1040190906
109	0.1037123125
110	0.1035474814
111	0.1033625972
112	0.1031656724
113	0.1029248249
114	0.1026761363
115	0.1025783449
116	0.1022974867
117	0.1021572466
118	0.1019494747
119	0.1016749495
120	0.1015185008
121	0.1013313639
122	0.1010827113
123	0.1009107889
124	0.1007485581
125	0.1005559063
126	0.1002936915
127	0.1001433871
128	0.1000826491
129	0.09972835596
130	0.09949971305
131	0.09933655178
132	0.09921250225
133	0.09902298941
134	0.09861552655
135	0.09838557983
136	0.09829638924
137	0.09805490847
138	0.09779398457
139	0.09766629506
140	0.09754917648
141	0.09730344063
142	0.09720608749
143	0.09709749548
144	0.09696087925
145	0.09686776363
146	0.09678490705
147	0.09666320632
148	0.09638151745
149	0.09601102764
150	0.09580112074
151	0.09573192528
152	0.09543347303
153	0.09518058539
154	0.09506836282
155	0.09480792255
156	0.09474996334
157	0.09462466103
158	0.09436266554
159	0.09409208016
160	0.09394866723
161	0.09377231259
162	0.09361155846
163	0.09330721136
164	0.09319702458
165	0.09285763467
166	0.09268477466
167	0.09243649529
168	0.09224762355
169	0.0920849328
170	0.09196129045
171	0.09166488879
172	0.09152261695
173	0.09129182317
174	0.09109539499
175	0.09082612492
176	0.0907251264
177	0.09058608541
178	0.09050728969
179	0.09038279208
180	0.09010663362
181	0.08999189436
182	0.08992013875
183	0.08978571536
184	0.08971207651
185	0.0895987
186	0.08955435587
187	0.0894917245
188	0.08937828575
189	0.08924763336
190	0.0891137887
191	0.08901499682
192	0.08877822233
193	0.08871563644
194	0.08855309376
195	0.08851711201
196	0.08837654433
197	0.08813632148
198	0.08803661433
199	0.08794187821
200	0.08769096777
201	0.08738109005
202	0.08728939945
203	0.0872350876
204	0.08709374049
205	0.08686980022
206	0.0866539962
207	0.08648165607
208	0.08638343303
209	0.08634046411
210	0.08606364718
211	0.08598771862
212	0.08596773034
213	0.08591352699
214	0.08569930305
215	0.08560797043
216	0.08532851966
217	0.08512626315
218	0.08496564998
219	0.08489518878
220	0.08463073825
221	0.08453042608
222	0.08443784454
223	0.08437005829
224	0.08431280782
225	0.08428481141
226	0.08419520947
227	0.08406685378
228	0.08399817874
229	0.08387028883
230	0.08381925569
231	0.08372189188
232	0.08367272749
233	0.08356695797
234	0.08350405436
235	0.08333132598
236	0.08306162534
237	0.08292900782
238	0.08288155729
239	0.08278683963
240	0.0826832454
241	0.08260407096
242	0.08251640624
243	0.08246812414
244	0.08225747579
